feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
AKAP11	17.0	4.0	4.0	8.0	4.0	0.0	0.0	0.0	21.0	0.0	0.0	8.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
AKAP13	4.0	13.0	0.0	0.0	0.0	17.0	17.0	0.0	0.0	13.0	0.0	4.0	4.0	0.0	34.0	0.0	0.0	0.0	4.0	0.0
AKAP8	4.0	4.0	0.0	0.0	0.0	4.0	21.0	0.0	0.0	4.0	0.0	4.0	4.0	0.0	17.0	0.0	0.0	0.0	8.0	0.0
AKAP9	0.0	0.0	4.0	13.0	8.0	0.0	0.0	13.0	0.0	0.0	8.0	4.0	17.0	4.0	17.0	4.0	0.0	4.0	0.0	26.0
ALMS1	4.0	0.0	0.0	0.0	0.0	0.0	13.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0
ALPK1	4.0	4.0	4.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	4.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	8.0	0.0
ALPK2	8.0	4.0	4.0	21.0	0.0	8.0	0.0	26.0	0.0	13.0	17.0	21.0	8.0	0.0	8.0	8.0	0.0	0.0	39.0	0.0
AMMECR1L	17.0	8.0	13.0	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	8.0	17.0	4.0	8.0	0.0	4.0	0.0	0.0	0.0
AMOTL1	4.0	4.0	21.0	8.0	0.0	17.0	0.0	0.0	8.0	8.0	0.0	0.0	13.0	0.0	4.0	0.0	0.0	0.0	8.0	8.0
AMPD3	13.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	8.0	8.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	8.0	4.0
ANGEL1	0.0	0.0	4.0	21.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	4.0	13.0	0.0	0.0	4.0	0.0	0.0	0.0
ANKFY1	0.0	17.0	17.0	13.0	8.0	8.0	21.0	0.0	4.0	4.0	4.0	8.0	8.0	0.0	0.0	8.0	4.0	4.0	4.0	34.0
ANKRD26	4.0	0.0	17.0	0.0	0.0	4.0	4.0	4.0	4.0	4.0	0.0	0.0	8.0	8.0	4.0	0.0	8.0	8.0	0.0	0.0
ANKRD32	0.0	0.0	4.0	4.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD50	21.0	13.0	0.0	17.0	4.0	0.0	4.0	8.0	0.0	13.0	4.0	0.0	0.0	4.0	8.0	0.0	4.0	0.0	4.0	0.0
ANKRD52	17.0	21.0	17.0	4.0	4.0	4.0	4.0	8.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0
ANKS1A	4.0	0.0	8.0	4.0	0.0	0.0	4.0	0.0	13.0	13.0	4.0	0.0	8.0	0.0	13.0	4.0	0.0	0.0	0.0	0.0
ANPEP	13.0	0.0	4.0	0.0	0.0	8.0	8.0	8.0	8.0	8.0	13.0	0.0	21.0	4.0	0.0	0.0	4.0	4.0	4.0	0.0
AP1G2	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0	13.0	0.0	0.0	0.0
AP4E1	0.0	0.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	13.0	0.0	4.0	0.0	8.0	4.0	0.0	4.0
APC	0.0	0.0	0.0	4.0	4.0	8.0	0.0	0.0	4.0	8.0	0.0	4.0	26.0	0.0	4.0	0.0	8.0	0.0	17.0	0.0
APH1B	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
APOLD1	0.0	0.0	0.0	0.0	8.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
AQR	21.0	4.0	4.0	13.0	13.0	4.0	8.0	8.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	34.0	4.0	13.0	0.0
AREL1	13.0	0.0	4.0	26.0	21.0	8.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	13.0	0.0	21.0	4.0	0.0	8.0	0.0
ARFGEF1	17.0	4.0	4.0	8.0	0.0	4.0	0.0	8.0	4.0	13.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	4.0	4.0	0.0
ARFGEF2	17.0	0.0	8.0	0.0	4.0	8.0	4.0	0.0	13.0	8.0	4.0	0.0	8.0	4.0	0.0	0.0	34.0	8.0	0.0	0.0
ARHGAP18	4.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	4.0	0.0	4.0	0.0
ARHGAP20	4.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	21.0	4.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGAP29	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	17.0	0.0	0.0	0.0	8.0	4.0
ARHGEF10L	0.0	0.0	0.0	4.0	0.0	0.0	13.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	4.0
ARHGEF11	0.0	0.0	8.0	13.0	4.0	8.0	0.0	4.0	4.0	4.0	0.0	4.0	4.0	0.0	4.0	0.0	17.0	0.0	0.0	4.0
ARHGEF3	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	17.0
ARHGEF6	8.0	4.0	8.0	0.0	4.0	8.0	30.0	4.0	0.0	0.0	4.0	13.0	0.0	0.0	0.0	0.0	17.0	0.0	4.0	0.0
ARHGEF9	0.0	4.0	8.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
ARID1A	0.0	21.0	30.0	13.0	39.0	4.0	17.0	0.0	13.0	21.0	0.0	0.0	34.0	8.0	26.0	0.0	0.0	0.0	17.0	30.0
ARID2	0.0	8.0	0.0	4.0	4.0	4.0	0.0	4.0	0.0	0.0	0.0	21.0	0.0	4.0	0.0	4.0	4.0	0.0	4.0	21.0
ARID4A	8.0	8.0	0.0	4.0	4.0	8.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
ARIH1	0.0	0.0	4.0	13.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	8.0
ARL10	4.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0
ARL3	4.0	0.0	8.0	0.0	4.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	4.0
ARL4C	0.0	4.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARSD	4.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	4.0	0.0	4.0	4.0	0.0	4.0	0.0	4.0	0.0	8.0	0.0	0.0
ARSG	4.0	0.0	4.0	8.0	0.0	13.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
ASAP2	4.0	0.0	0.0	4.0	4.0	4.0	4.0	0.0	8.0	4.0	0.0	0.0	4.0	0.0	17.0	0.0	0.0	0.0	13.0	4.0
ASAP3	0.0	0.0	4.0	0.0	8.0	0.0	0.0	4.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0
ASCC3	21.0	17.0	0.0	0.0	4.0	8.0	17.0	0.0	0.0	4.0	4.0	0.0	4.0	8.0	0.0	0.0	4.0	0.0	8.0	0.0
ASH1L	4.0	13.0	4.0	0.0	26.0	8.0	4.0	8.0	4.0	13.0	8.0	4.0	8.0	8.0	0.0	4.0	13.0	0.0	0.0	0.0
ASPM	13.0	0.0	0.0	8.0	4.0	4.0	0.0	8.0	0.0	8.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	8.0	4.0	4.0
ATAD2B	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0
ATF7IP	4.0	4.0	4.0	4.0	8.0	4.0	8.0	4.0	0.0	0.0	0.0	17.0	8.0	0.0	4.0	0.0	0.0	8.0	13.0	8.0
ATG14	0.0	0.0	0.0	8.0	0.0	8.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	13.0	4.0	4.0	4.0
ATG16L1	4.0	26.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	8.0	0.0	21.0	0.0	4.0	4.0
ATM	4.0	4.0	0.0	0.0	17.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	4.0	0.0	4.0
ATP10A	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP11A	0.0	4.0	8.0	4.0	8.0	0.0	4.0	4.0	0.0	4.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP13A1	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	8.0	0.0	0.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0
ATP7B	0.0	0.0	0.0	0.0	0.0	4.0	4.0	4.0	4.0	8.0	4.0	0.0	13.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0
ATP9A	0.0	4.0	8.0	4.0	0.0	17.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
ATR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	21.0	13.0	0.0	0.0	0.0	0.0	26.0	0.0
ATXN1L	0.0	8.0	0.0	8.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0
AVL9	0.0	8.0	8.0	4.0	4.0	8.0	0.0	0.0	8.0	0.0	13.0	0.0	8.0	0.0	0.0	0.0	4.0	4.0	4.0	8.0
B3GALTL	4.0	0.0	0.0	4.0	13.0	0.0	8.0	4.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	8.0	0.0
B4GALT5	8.0	4.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	8.0	26.0	4.0	13.0	0.0	8.0	0.0	34.0	0.0
BAG5	17.0	0.0	0.0	4.0	17.0	8.0	4.0	4.0	4.0	8.0	4.0	8.0	13.0	8.0	4.0	0.0	0.0	0.0	21.0	13.0
BAHD1	0.0	0.0	0.0	8.0	0.0	8.0	21.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAIAP2L1	0.0	0.0	13.0	8.0	8.0	4.0	0.0	0.0	8.0	4.0	4.0	0.0	8.0	4.0	8.0	0.0	4.0	0.0	13.0	8.0
BCL9	8.0	4.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	21.0	0.0
BDP1	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0
BICD2	17.0	4.0	13.0	4.0	17.0	13.0	17.0	0.0	0.0	43.0	4.0	0.0	34.0	0.0	0.0	0.0	4.0	0.0	43.0	8.0
BIRC3	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	4.0	0.0	4.0	0.0	0.0	8.0	0.0	8.0	0.0	4.0	4.0
BLM	0.0	0.0	8.0	0.0	17.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0
BMPER	0.0	0.0	4.0	4.0	0.0	30.0	26.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	21.0	0.0	0.0	0.0	0.0	4.0
BOD1L1	30.0	8.0	13.0	0.0	0.0	26.0	4.0	8.0	4.0	13.0	0.0	0.0	4.0	0.0	8.0	13.0	4.0	8.0	4.0	13.0
BRCA2	0.0	8.0	0.0	0.0	17.0	4.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	4.0	0.0
BRD1	4.0	0.0	13.0	0.0	4.0	8.0	0.0	8.0	0.0	0.0	0.0	4.0	26.0	0.0	0.0	0.0	13.0	0.0	8.0	0.0
BRD3	0.0	4.0	4.0	8.0	0.0	8.0	0.0	8.0	0.0	17.0	0.0	0.0	26.0	4.0	0.0	4.0	4.0	4.0	26.0	0.0
BRI3BP	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0
BRIP1	0.0	0.0	0.0	0.0	8.0	4.0	8.0	0.0	0.0	8.0	8.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
BROX	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	13.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0
BRPF1	8.0	0.0	4.0	8.0	4.0	0.0	0.0	17.0	0.0	4.0	4.0	0.0	13.0	4.0	4.0	0.0	0.0	8.0	0.0	0.0
BRWD1	13.0	0.0	4.0	13.0	0.0	26.0	4.0	4.0	4.0	0.0	4.0	0.0	0.0	4.0	8.0	0.0	0.0	8.0	13.0	0.0
C10orf118	4.0	26.0	4.0	0.0	13.0	4.0	0.0	8.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
C10orf12	8.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0
C10orf54	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	8.0	17.0
C11orf30	0.0	0.0	0.0	8.0	0.0	8.0	0.0	4.0	4.0	8.0	0.0	4.0	4.0	8.0	26.0	4.0	13.0	0.0	4.0	4.0
C11orf95	0.0	0.0	4.0	4.0	4.0	4.0	0.0	4.0	0.0	4.0	8.0	4.0	8.0	4.0	4.0	17.0	4.0	0.0	4.0	0.0
C12orf4	4.0	4.0	4.0	8.0	8.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0
C14orf132	4.0	0.0	8.0	4.0	0.0	8.0	8.0	4.0	4.0	17.0	13.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
C16orf72	0.0	21.0	0.0	17.0	21.0	4.0	8.0	21.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	8.0	0.0	4.0	17.0
C17orf51	0.0	0.0	0.0	4.0	17.0	4.0	4.0	0.0	0.0	4.0	13.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
C17orf70	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	8.0	0.0	17.0	0.0	0.0	0.0	4.0	4.0
C18orf25	17.0	0.0	0.0	8.0	0.0	0.0	8.0	8.0	0.0	4.0	4.0	0.0	4.0	0.0	4.0	4.0	8.0	0.0	0.0	0.0
C1orf112	0.0	4.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	8.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
C20orf194	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0
C2CD3	4.0	0.0	17.0	13.0	0.0	0.0	8.0	17.0	8.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	13.0	21.0	0.0	8.0
C2CD5	0.0	0.0	4.0	0.0	8.0	0.0	8.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2orf44	0.0	0.0	4.0	0.0	0.0	0.0	21.0	0.0	0.0	8.0	0.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
C2orf49	4.0	4.0	4.0	4.0	0.0	0.0	4.0	0.0	26.0	4.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4orf21	8.0	0.0	4.0	21.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0	4.0	13.0	0.0	0.0	0.0	4.0	0.0
C5orf51	4.0	0.0	4.0	4.0	21.0	0.0	8.0	0.0	4.0	8.0	13.0	4.0	21.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0
C7orf41	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	4.0	0.0	0.0
CABIN1	0.0	8.0	0.0	0.0	13.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	26.0	4.0	0.0	0.0	4.0	0.0
CACNA1A	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	4.0	13.0	4.0	0.0	0.0	0.0	13.0	0.0
CACNA1C	4.0	0.0	4.0	13.0	4.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAD	0.0	0.0	13.0	4.0	8.0	30.0	13.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	8.0
CAND2	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	8.0	4.0	0.0
CAPN15	17.0	0.0	0.0	4.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
CARD10	0.0	8.0	17.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0
CARD6	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
CASC5	4.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	30.0	0.0	4.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	4.0
CASC7	4.0	13.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	4.0	8.0	0.0	4.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0
CBL	0.0	0.0	0.0	26.0	8.0	0.0	21.0	8.0	26.0	0.0	0.0	0.0	17.0	4.0	4.0	0.0	4.0	0.0	4.0	8.0
CBX2	0.0	0.0	17.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	17.0	0.0	0.0	4.0	0.0	0.0	0.0
CBX5	21.0	4.0	13.0	13.0	26.0	17.0	13.0	0.0	0.0	0.0	4.0	4.0	4.0	0.0	8.0	0.0	4.0	0.0	4.0	0.0
CCDC117	0.0	0.0	0.0	8.0	4.0	21.0	0.0	0.0	0.0	13.0	0.0	0.0	17.0	0.0	8.0	4.0	13.0	0.0	8.0	17.0
CCDC93	0.0	0.0	0.0	13.0	0.0	4.0	0.0	17.0	0.0	4.0	0.0	8.0	13.0	0.0	0.0	0.0	4.0	8.0	8.0	0.0
CCNF	13.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	8.0	0.0	13.0	8.0	0.0
CCSAP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	17.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0
CCSER2	8.0	0.0	26.0	8.0	13.0	0.0	26.0	0.0	4.0	17.0	0.0	4.0	30.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0
CD109	4.0	0.0	4.0	0.0	26.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0
CD2AP	4.0	0.0	0.0	0.0	13.0	0.0	4.0	4.0	0.0	17.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0
CDAN1	4.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	4.0	4.0	0.0	4.0	0.0	0.0
CDC25A	0.0	4.0	0.0	0.0	0.0	4.0	30.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	4.0	8.0	8.0	0.0	4.0
CDC42BPA	0.0	0.0	0.0	0.0	0.0	8.0	17.0	4.0	8.0	4.0	4.0	0.0	8.0	0.0	8.0	0.0	4.0	0.0	4.0	0.0
CDC5L	21.0	4.0	0.0	4.0	0.0	4.0	21.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	4.0	4.0
CDCA2	13.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	48.0	4.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0	0.0
CDK5RAP2	8.0	8.0	0.0	0.0	30.0	4.0	17.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0	13.0	0.0	43.0	4.0
CDKL5	4.0	13.0	4.0	0.0	0.0	0.0	4.0	4.0	4.0	0.0	4.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0
CDKN2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
CDON	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	8.0	0.0	4.0	8.0	13.0	8.0	4.0	4.0
CENPF	69.0	17.0	13.0	0.0	74.0	4.0	26.0	13.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	8.0	8.0	0.0	4.0	0.0
CENPJ	26.0	0.0	4.0	8.0	17.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	17.0	0.0
CEP128	0.0	0.0	13.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	4.0	4.0	0.0	4.0
CEP135	4.0	0.0	4.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	4.0	0.0	0.0	4.0
CEP170B	0.0	13.0	0.0	17.0	0.0	4.0	0.0	4.0	0.0	13.0	0.0	0.0	4.0	4.0	0.0	4.0	17.0	0.0	0.0	4.0
CEP170P1	4.0	26.0	0.0	8.0	13.0	0.0	30.0	8.0	8.0	8.0	8.0	8.0	4.0	0.0	0.0	0.0	0.0	8.0	13.0	13.0
